model,db_id,support,correct,execution_accuracy_pct
qwen3-4b-instruct-2507,battle_death,16,12,75.0
qwen3-4b-instruct-2507,car_1,92,41,44.565
qwen3-4b-instruct-2507,concert_singer,45,37,82.222
qwen3-4b-instruct-2507,course_teach,30,27,90.0
qwen3-4b-instruct-2507,cre_Doc_Template_Mgt,84,66,78.571
qwen3-4b-instruct-2507,dog_kennels,82,55,67.073
qwen3-4b-instruct-2507,employee_hire_evaluation,38,31,81.579
qwen3-4b-instruct-2507,flight_2,80,70,87.5
qwen3-4b-instruct-2507,museum_visit,18,16,88.889
qwen3-4b-instruct-2507,network_1,56,46,82.143
qwen3-4b-instruct-2507,orchestra,40,33,82.5
qwen3-4b-instruct-2507,pets_1,42,36,85.714
qwen3-4b-instruct-2507,poker_player,40,37,92.5
qwen3-4b-instruct-2507,real_estate_properties,4,2,50.0
qwen3-4b-instruct-2507,singer,30,28,93.333
qwen3-4b-instruct-2507,student_transcripts_tracking,78,58,74.359
qwen3-4b-instruct-2507,tvshow,62,42,67.742
qwen3-4b-instruct-2507,voter_1,15,14,93.333
qwen3-4b-instruct-2507,world_1,120,69,57.5
qwen3-4b-instruct-2507,wta_1,62,28,45.161
qwen2.5-coder-1.5b-instruct,battle_death,16,10,62.5
qwen2.5-coder-1.5b-instruct,car_1,92,29,31.522
qwen2.5-coder-1.5b-instruct,concert_singer,45,33,73.333
qwen2.5-coder-1.5b-instruct,course_teach,30,15,50.0
qwen2.5-coder-1.5b-instruct,cre_Doc_Template_Mgt,84,61,72.619
qwen2.5-coder-1.5b-instruct,dog_kennels,82,35,42.683
qwen2.5-coder-1.5b-instruct,employee_hire_evaluation,38,26,68.421
qwen2.5-coder-1.5b-instruct,flight_2,80,71,88.75
qwen2.5-coder-1.5b-instruct,museum_visit,18,12,66.667
qwen2.5-coder-1.5b-instruct,network_1,56,34,60.714
qwen2.5-coder-1.5b-instruct,orchestra,40,36,90.0
qwen2.5-coder-1.5b-instruct,pets_1,42,21,50.0
qwen2.5-coder-1.5b-instruct,poker_player,40,30,75.0
qwen2.5-coder-1.5b-instruct,real_estate_properties,4,2,50.0
qwen2.5-coder-1.5b-instruct,singer,30,26,86.667
qwen2.5-coder-1.5b-instruct,student_transcripts_tracking,78,34,43.59
qwen2.5-coder-1.5b-instruct,tvshow,62,32,51.613
qwen2.5-coder-1.5b-instruct,voter_1,15,11,73.333
qwen2.5-coder-1.5b-instruct,world_1,120,43,35.833
qwen2.5-coder-1.5b-instruct,wta_1,62,24,38.71
deepseek-coder-1.3b-instruct,battle_death,16,6,37.5
deepseek-coder-1.3b-instruct,car_1,92,28,30.435
deepseek-coder-1.3b-instruct,concert_singer,45,28,62.222
deepseek-coder-1.3b-instruct,course_teach,30,22,73.333
deepseek-coder-1.3b-instruct,cre_Doc_Template_Mgt,84,48,57.143
deepseek-coder-1.3b-instruct,dog_kennels,82,36,43.902
deepseek-coder-1.3b-instruct,employee_hire_evaluation,38,18,47.368
deepseek-coder-1.3b-instruct,flight_2,80,55,68.75
deepseek-coder-1.3b-instruct,museum_visit,18,10,55.556
deepseek-coder-1.3b-instruct,network_1,56,23,41.071
deepseek-coder-1.3b-instruct,orchestra,40,24,60.0
deepseek-coder-1.3b-instruct,pets_1,42,17,40.476
deepseek-coder-1.3b-instruct,poker_player,40,27,67.5
deepseek-coder-1.3b-instruct,real_estate_properties,4,1,25.0
deepseek-coder-1.3b-instruct,singer,30,22,73.333
deepseek-coder-1.3b-instruct,student_transcripts_tracking,78,33,42.308
deepseek-coder-1.3b-instruct,tvshow,62,27,43.548
deepseek-coder-1.3b-instruct,voter_1,15,8,53.333
deepseek-coder-1.3b-instruct,world_1,120,32,26.667
deepseek-coder-1.3b-instruct,wta_1,62,24,38.71
