model,dimension,bin,support,correct,execution_accuracy_pct
qwen3-4b-instruct-2507,gold_sql_tokens,01-10,373,312,83.646
qwen3-4b-instruct-2507,gold_sql_tokens,11-20,383,277,72.324
qwen3-4b-instruct-2507,gold_sql_tokens,21-30,211,130,61.611
qwen3-4b-instruct-2507,gold_sql_tokens,31+,67,29,43.284
qwen3-4b-instruct-2507,schema_tables,01-03,571,425,74.431
qwen3-4b-instruct-2507,schema_tables,04-06,303,210,69.307
qwen3-4b-instruct-2507,schema_tables,07+,160,113,70.625
qwen3-4b-instruct-2507,question_words,01-08,195,163,83.59
qwen3-4b-instruct-2507,question_words,09-15,620,458,73.871
qwen3-4b-instruct-2507,question_words,16+,219,127,57.991
qwen3-4b-instruct-2507,input_tokens,001-256,316,278,87.975
qwen3-4b-instruct-2507,input_tokens,257-512,554,355,64.079
qwen3-4b-instruct-2507,input_tokens,513+,164,115,70.122
qwen2.5-coder-1.5b-instruct,gold_sql_tokens,01-10,373,272,72.922
qwen2.5-coder-1.5b-instruct,gold_sql_tokens,11-20,383,198,51.697
qwen2.5-coder-1.5b-instruct,gold_sql_tokens,21-30,211,104,49.289
qwen2.5-coder-1.5b-instruct,gold_sql_tokens,31+,67,11,16.418
qwen2.5-coder-1.5b-instruct,schema_tables,01-03,571,329,57.618
qwen2.5-coder-1.5b-instruct,schema_tables,04-06,303,187,61.716
qwen2.5-coder-1.5b-instruct,schema_tables,07+,160,69,43.125
qwen2.5-coder-1.5b-instruct,question_words,01-08,195,155,79.487
qwen2.5-coder-1.5b-instruct,question_words,09-15,620,355,57.258
qwen2.5-coder-1.5b-instruct,question_words,16+,219,75,34.247
qwen2.5-coder-1.5b-instruct,input_tokens,001-256,316,224,70.886
qwen2.5-coder-1.5b-instruct,input_tokens,257-512,554,290,52.347
qwen2.5-coder-1.5b-instruct,input_tokens,513+,164,71,43.293
deepseek-coder-1.3b-instruct,gold_sql_tokens,01-10,373,234,62.735
deepseek-coder-1.3b-instruct,gold_sql_tokens,11-20,383,186,48.564
deepseek-coder-1.3b-instruct,gold_sql_tokens,21-30,211,62,29.384
deepseek-coder-1.3b-instruct,gold_sql_tokens,31+,67,7,10.448
deepseek-coder-1.3b-instruct,schema_tables,01-03,571,273,47.811
deepseek-coder-1.3b-instruct,schema_tables,04-06,303,147,48.515
deepseek-coder-1.3b-instruct,schema_tables,07+,160,69,43.125
deepseek-coder-1.3b-instruct,question_words,01-08,195,122,62.564
deepseek-coder-1.3b-instruct,question_words,09-15,620,293,47.258
deepseek-coder-1.3b-instruct,question_words,16+,219,74,33.79
deepseek-coder-1.3b-instruct,input_tokens,001-256,70,49,70.0
deepseek-coder-1.3b-instruct,input_tokens,257-512,738,346,46.883
deepseek-coder-1.3b-instruct,input_tokens,513+,226,94,41.593
